Num,Name,Ca,,, 
635,피자_놀부단호박 피자 리코타링 (L),E,,,
636,피자_놀부단호박 피자 리코타링 (R),E,,,
637,피자_놀부단호박 피자 석쇠 (L),E,,,
638,피자_놀부단호박 피자 석쇠 (R),E,,,
639,피자_놀부단호박 피자 씬도우 (L),E,,,
640,피자_놀부단호박 피자 씬도우 (R),E,,,
641,피자_놀부단호박 피자 치즈링 (L),E,,,
642,피자_놀부단호박 피자 치즈링 (R),E,,,
643,피자_눈꽃열차 피자 (L),E,,,
644,피자_눈꽃열차 피자 (R),E,,,
645,피자_눈꽃치즈스테이크 피자 (L),E,,,
646,피자_뉴그릴드치킨 피자 고구마크러스트 (L),E,,,
647,피자_뉴그릴드치킨 피자 고구마크러스트 (R),E,,,
648,피자_뉴그릴드치킨 피자 밀스크린 (L),E,,,
649,피자_뉴그릴드치킨 피자 밀스크린 (R),E,,,
650,피자_뉴그릴드치킨 피자 밀스크린고구마크러스트 (L),E,,,
651,피자_뉴그릴드치킨 피자 밀스크린고구마크러스트 (R),E,,,
652,피자_뉴그릴드치킨 피자 밀스크린체다크림크러스트 (L),E,,,
