Num,Name,AllKcal,OhKcal,W,P,F,C,S,Na,SF
136,삼치구이,356,178,200,21.42,9.57,1.45,0.22,217,2.02
137,새우구이,261,145,180,23.41,4.44,2.82,0.03,330,0.74
138,소불고기,340,170,200,16.41,9.66,4.26,3.24,418,3.26
139,스테이크_소등심,388,194,200,30.22,8.07,0.14,0,134,3.85
140,스테이크_소안심,366,183,200,34.82,4.83,0.13,0,103,0.22
141,오리고기구이,586,293,200,24.06,19.7,4.89,0,708,4.82
142,오리불고기,362.5,145,250,6.75,9.05,9.05,6.29,467,2.04
143,장어구이_고추장,259,259,100,19.82,17.21,6.18,0.44,322,4.68
144,조개구이_키조개,234,130,180,17.43,2.07,10.44,3.6,454,0.09
145,조기구이,318.6,177,180,19.33,10.86,0.44,0,1364,3.08
146,참치구이_머리,347.4,193,180,26.56,8.98,1.4,0,459,2.76
147,함박스테이크,348,174,200,12.1,10.73,7.19,0.06,198,3.3
148,곱창볶음_돼지고기,299,130,230,7.23,3,18.52,3.27,215,1.05
149,낙지볶음,182,91,200,5.77,3.77,8.6,7.91,537,0.44
150,닭볶음(닭갈비),558,186,300,13.98,10.96,7.93,0.77,338,1.92
151,닭볶음(닭갈비)_닭가슴살_피망,97.6,122,80,16.39,5.65,1.38,0.29,490,0.65
152,돼지고기볶음(제육볶음),487.5,195,250,12.15,14.19,4.73,0.38,501,4.18
153,떡볶이,259.2,144,180,3.51,2.96,25.96,4.4,391,0.28
154,라볶이,268,134,200,2.83,4.71,20.14,0.94,311,1.47
155,마파두부,174.4,109,160,7.29,6.48,5.36,2.45,352,1.04
156,삼겹살볶음_묵은지김치,302,151,200,5.76,10.49,8.4,3.62,604,3.36
157,오징어볶음,256,128,200,9.85,6.52,7.43,1.93,310,1
158,유산슬,189.2,86,220,7.54,4.4,4.1,2.15,211,0.78
159,팔보채,198,90,220,12.42,2.9,3.42,2.09,856,0.39
160,고등어조림,141,141,100,11.25,8.84,4.1,3.39,390,2.14
161,꽁치조림,244,244,100,15.52,17.87,5.14,4.05,350,3.52
162,닭볶음탕,333,111,300,11.91,3.22,8.52,0.42,376,1.19
163,닭조림,295.5,197,150,18.03,10.9,6.57,0.5,470,2.73
164,닭조림_고추장,380,152,250,9.12,6.94,13.25,2.04,290,2.05
165,코다리조림,86,86,100,16.46,0.4,4.16,3.67,466,0.17
166,샐러드_닭가슴살,202.5,135,150,7.17,9.49,5.36,3.25,88,1.21
167,꽃게장_양념(고추가루),194,97,200,10.23,0.61,12.61,8.77,804,0.24
168,육회,195,130,150,9.93,6.43,8.12,5.29,418,2.11
169,오므라이스_수플레 오믈렛 라이스,405.81,167,243,4.94,,,2.47,490,2.63
170,피자_페퍼로니 피자 (L),1688.4,315,536,17.61,11.55,35.15,3.55,396,5.24
171,스파게티_미트 토마토 파스타,532.8,185,288,3.13,4.86,30.21,8.33,484,0.69
172,스파게티_베이컨 크림 파스타,686.07,231,297,5.39,10.44,28.96,3.03,423,4.04
173,스파게티_쉬림프 로제 파스타,733.59,247,297,6.06,11.78,29.63,6.73,489,5.72
174,스파게티_뇨끼,946,172,550,4.7,8.7,18.8,1.5,345,4.2
175,닭발구이_불닭발,235,235,100,17,,17,6,630,2.1
176,닭발구이_한입쏙직화 닭발,148,148,100,11.88,,,7.31,441,1.55
177,돼지갈비구이_폭립,295,295,100,24.03,,7.31,0.59,158,7.81
178,감자그라탕_치즈만난감자 그라탕,375.1,341,110,10.91,,,11.82,409,6.36
179,떡볶이_국물맵떡,139,139,100,4.09,,,5.69,614,0.21
180,샐러드_그릴드 치킨 샐러드,200.97,99,203,6.4,,,4.93,315,0.84
181,계란덮밥,143,143,100,4.31,2.82,25.14,3.07,223,0.61
182,곤드레나물밥,521.5,149,350,2.94,2.71,28.26,0,26,0.26
183,국밥,416,52,800,3.45,1.03,7.33,0.05,288,0.34
184,국밥_굴,682.5,105,650,6.52,2.74,13.6,0.05,252,0.6
185,국밥_돼지고기,912,76,1200,5.53,3.22,6.23,0,91,0.7
186,국밥_소고기,329,47,700,3.11,1.16,6.09,0.4,255,0.33
187,귀리밥,162,162,100,3.9,0.87,34.54,0.09,0,0.16
188,김밥_샐러드,405,162,250,3.85,5.41,24.58,1.37,364,1.12
189,김밥_소고기,400,160,250,6.39,3.85,25.01,0.33,424,1.01
190,김밥_참치,170,170,100,6.44,5.89,22.73,1.46,353,1.07
191,누룽지_뜨거운물첨가,69,69,100,1.32,0.1,15.06,1.15,13,0.04
192,덮밥_송이버섯,582,97,600,3.04,2.34,15.93,0.38,280,0.46
193,덮밥_유산슬,577.5,105,550,4.9,3.46,13.44,0.08,287,0.62
